,post,lang,age_group,proximal,medial,distal
25,여자분 욕하는 사람들은 정신이 나간건가,kr,1,1,0,0
26,용혜인 의원님 응원합니다 화이팅!!!🤗👍,kr,1,1,0,0
27,저급한 임종득입니다.,kr,1,0,0,1
28,까불다가 누구 믿고. 저러나?,kr,1,0,0,1
29,"정신나간 사람은 임종득이네!!
똑소리 나게 말 잘하는 용해인 의원님
멋지십니다!!
영원히 국회에서 퇴출 되면 좋겠당!!!!!!!",kr,1,1,0,0
30,용혜인이 짱이다,kr,1,2,0,0
31,"임종득 인상은
과학이다 하는짓도
생긴데로",kr,1,1,0,0
32,"용혜인 화이팅
잘한다!!!",kr,1,1,0,0
33,용혜인의원 화이팅~~국짐당은저런인간들밖에없는건희?,kr,1,1,0,1
34,임종득...저런 양반이.. 국회의원이라니.. 국힘은 부끄러운줄 알아라..,kr,1,2,0,1
35,나이가 자기보다 어려도 사과할건 해야지 국민의 대표로 그 자리에 있는거다 임종득 정신차려,kr,1,1,1,0
36,"임종득 나이값좀 하세요!
어리다고 말함부로 하지 마세요
용해인 의원님 똑 부러짐니다~
응원합니다~",kr,1,1,0,0
37,화이팅~!!! 용혜인 의원님 응원합니다 ❤️💕,kr,1,1,0,0
38,저런게 의원 종득아 제명이다 국짐당 해체,kr,1,1,0,1
39,임종득진짜 말 함부로 막말 어떻게 저런사람이 의원이 되었을까 내원참,kr,1,2,0,1
40,내 소원 중 하나가 국힘 저얼굴들 안보는거,kr,1,0,0,1
41,"용혜인 사과받아요
화이띵",kr,1,1,0,0
42,임종득이 정신나갔구먼~~,kr,1,1,0,0
43,"퇴출 하세요
모욕이 맞습니다
국힘당 정신 차려라",kr,1,1,0,0
44,용혜인 화이팅,kr,1,1,0,0
45,용장군 홰이팅,kr,1,1,0,0
46,국힘은죄다 왜저따구냐,kr,1,0,0,1
47,임종득이가 정신나간거 아냐?,kr,1,1,0,0
48,용혜인님 대박 잘해요~ 국힘 다 퇴출이야! 임종득 할배야,kr,1,1,0,0
49,용헤인인지 이상하다.,kr,1,1,0,0
50,용혜인의원 화이팅!!!,kr,1,1,0,0
51,임종득이 용혜인 건들면 안돼 나이도 드실만큼 드신분이 말을 그래뿐이 못하나,kr,1,4,1,0
52,저와 다르게 이런상황에도 용감하게 할말 하시는 용혜인 의원님 너무 존경스럽고 본받고 싶습니다!!,kr,1,1,0,1
53,국짐은 인간이하들 집합소,kr,1,1,0,0
54,화이팅~!!! 용혜인 의원님 응원합니다 ❤️💕,kr,1,1,0,0
55,국힘 저러는거 짤만들면 매드무비 100편은 나오겠다 ㅋㅋㅋ국힘은 왜 항상 저러냐ㅋㅋㅋ,kr,1,0,0,2
56,국짐당은 정상인이 없네,kr,1,1,0,0
57,민폐당 국짐!! 국회의원이라는것들이 저모양이니. 저런것들한테 지급되는 세금이 아깝다!!,kr,1,4,0,2
58,임종득이 나이먹어 말을 똑바로해야 젊은사람에게 창피를안받지 잘~알 당했다.,kr,1,2,0,0
59,용혜인 위원님 진짜 너무 사이다고 너무 제스타일임 잘하고 계십니다,kr,1,1,0,0
60,나이값도 못하네 이런사람이 어떻게. 국회의원이 됫을까😡😡😡,kr,1,4,0,0
61,기본소득당 자체가 반국가세력이여,kr,1,1,0,0
62,어린것이 권력을 갖으면 나타나는 현상이라고 생각되네요... 솔직하게 용해인이 재정신이겠습니까?,kr,1,4,0,0
63,보면 볼수록 처참하네🥵국민의힘 왜이렇지?좀 참됀인간 없나???,kr,1,1,0,0
64,ㅋㅋ 사과 못합니다 😆 의원직 내려나라 기본이 안됐구먼,kr,1,1,0,0
65,임종득씨 카메라 돌아가니 저정도지 없엇음 욕도 할 양반이내,kr,1,1,0,1
66,"용의원님 저란자한테는같이막말해버려요
나이더먹은넘이손해져",kr,1,3,0,1
67,국민의힘는 정말 답이 없는 인간도 아니것들이네,kr,1,2,0,0
68,"국힘의 의원들은 제정신이 아는듯요.
한심하고 눈에 보이는 것이 없나 봅니다.
없어져야 할 당입니다.
국민을 위해서,
나라를 위해서.",kr,1,3,0,0
69,용혜인은 좀 적당히해라 염색이나할거지,kr,1,1,0,0
70,화이팅!,kr,1,1,0,0
71,건방지니까 그런말이 나오지,kr,1,1,1,0
72,"국회의원중 최고 이신듯..
세금 안아까운 국회의원중
1Top ~no1. 화이팅",kr,1,2,0,0
73,속이 뻥뻥,kr,1,1,0,0
74,"임종득이는 자격미달이고
세비아까운 국의원이야",kr,1,3,0,0
75,국회.개판이네.개판.장난들마니치고잇네,kr,1,1,0,0
76,"비례대표는 1번이상 금지시켜라.
비례대표는 무임승차 아니냐?",kr,1,1,0,0
77,"비례대표는 폐지하라
그냥 준 거 거져 받는 비례대표",kr,1,0,1,0
78,원래 국짐당사람들은 매너가 없어요 이준석 대표할때도 준석아 라고 부른사람들입니다 용해인의원이 여자고 어리다고 함부로 한짓이다,kr,1,3,0,0
79,용혜인의원한분이국짐당108명보다 잘한다~~~화이팅!,kr,1,2,0,0
80,용해인 의원님. 화이팅,kr,1,1,0,0
81,용혜인한테 정신나갔다는 소리를 하다니 자신감이 대단한데,kr,1,1,0,0
82,임종득이는 채상병 관련 반드시 수사받고 죄값 치뤄야할 사람중 하나임,kr,1,1,0,0
83,종득이 정신 나갔네😡😡😡😡😬😬😬,kr,1,1,0,0
